trade_date,run_ts,stage_order,stage_name,display_name,script_path,critical,status,duration_sec,expected_outputs,message,traceback_preview
2026-03-17,2026-03-18 14:28:39,1,daily_candidates,候选股生成层,c:\quant_system\scripts\generate_daily_candidates.py,是,SUCCESS,0.012,daily_candidates_all.csv | daily_candidates_top20.csv,执行完成。,
2026-03-17,2026-03-18 14:28:39,2,trade_plan,交易计划生成层,c:\quant_system\scripts\generate_trade_plan.py,是,SUCCESS,0.009,daily_trade_plan_all.csv | daily_trade_plan_top10.csv,执行完成。,
2026-03-17,2026-03-18 14:28:39,3,portfolio_plan,组合建议层,c:\quant_system\scripts\generate_portfolio_plan.py,是,SUCCESS,0.047,daily_portfolio_plan.csv,执行完成。,
2026-03-17,2026-03-18 14:28:39,4,portfolio_risk_check,组合风控复核层,c:\quant_system\scripts\review_portfolio_risk.py,是,SUCCESS,0.01,daily_portfolio_plan_risk_checked.csv,执行完成。,
2026-03-17,2026-03-18 14:28:39,5,execution_priority,组合执行优先级层,c:\quant_system\scripts\generate_execution_plan.py,是,SUCCESS,0.051,daily_execution_plan.csv,执行完成。,
2026-03-17,2026-03-18 14:28:39,6,open_execution,开盘动态执行层,c:\quant_system\scripts\generate_open_execution_decision.py,是,SUCCESS,0.01,daily_open_execution_decision.csv,执行完成。,
2026-03-17,2026-03-18 14:28:39,7,intraday_recheck,盘中二次确认层,c:\quant_system\scripts\generate_intraday_recheck_decision.py,是,SUCCESS,0.009,daily_intraday_recheck_decision.csv,执行完成。,
2026-03-17,2026-03-18 14:28:39,8,close_review,收盘复盘层,c:\quant_system\scripts\generate_close_review.py,是,SUCCESS,0.007,daily_close_review.csv | daily_close_positions.csv,执行完成。,
2026-03-17,2026-03-18 14:28:39,9,next_day_management,次日持仓续管层,c:\quant_system\scripts\generate_next_day_management.py,是,SUCCESS,0.007,daily_next_day_management.csv,执行完成。,
2026-03-17,2026-03-18 14:28:40,10,trade_reconciliation,真实交易流水对账层,c:\quant_system\scripts\generate_trade_reconciliation.py,是,SUCCESS_REPAIRED,0.145,daily_trade_reconciliation_detail.csv,执行完成，并自动修正: 对账明细补齐match_status/planned_shares,
2026-03-17,2026-03-18 14:28:40,11,reconciliation_attribution,对账异常归因层,c:\quant_system\scripts\generate_reconciliation_attribution.py,是,SUCCESS,0.119,daily_trade_reconciliation_attribution_detail.csv,执行完成。,
2026-03-17,2026-03-18 14:28:40,12,reconciliation_review,异常闭环复盘层,c:\quant_system\scripts\generate_reconciliation_review.py,是,SUCCESS,0.064,daily_trade_reconciliation_review_detail.csv,执行完成。,
2026-03-17,2026-03-18 14:28:40,13,reconciliation_replay_validation,异常注入回放验证层,,否,SKIPPED_DISABLED,0.0,daily_trade_reconciliation_replay_validation_detail.csv,未纳入本次运行范围。,
